unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.59857E+12,28/8/2020 0:00,ETH/USDT,383.31,398,379.75,395.11,732601.4691,286555002,311832
1.59849E+12,27/8/2020 0:00,ETH/USDT,385.81,397.1,371.48,383.27,877763.7366,336647752.3,392116
1.5984E+12,26/8/2020 0:00,ETH/USDT,382.91,392.91,377.37,385.81,738690.7794,284504413.1,351141
1.59831E+12,25/8/2020 0:00,ETH/USDT,407.68,409.06,370,382.93,970445.384,375681480.2,411636
1.59823E+12,24/8/2020 0:00,ETH/USDT,390.72,410.42,387.44,407.68,717403.8188,287991794.2,307676
1.59814E+12,23/8/2020 0:00,ETH/USDT,395.23,396.95,383.15,390.71,445317.8199,173799978,222729
1.59805E+12,22/8/2020 0:00,ETH/USDT,387.93,397.04,379.92,395.24,643235.7654,250069873.4,305450
1.59797E+12,21/8/2020 0:00,ETH/USDT,415.94,418.68,385.1,387.97,860998.7256,347455883.5,414222
1.59788E+12,20/8/2020 0:00,ETH/USDT,407.46,418.98,402.07,415.94,663555.7345,273292342.2,322537
1.5978E+12,19/8/2020 0:00,ETH/USDT,421.92,426.75,393.25,407.46,978339.6922,400208683.3,455992
1.59771E+12,18/8/2020 0:00,ETH/USDT,430.89,433.81,415,421.95,743254.5702,316635287,374074
1.59762E+12,17/8/2020 0:00,ETH/USDT,433.61,446,420.37,430.89,868870.65,375038999.5,443560
1.59754E+12,16/8/2020 0:00,ETH/USDT,432.3,436.99,412.47,433.62,716666.2526,305445885.8,371807
1.59745E+12,15/8/2020 0:00,ETH/USDT,438.12,442.94,427.02,432.32,681698.5971,296652970.5,351377
1.59736E+12,14/8/2020 0:00,ETH/USDT,424.54,444.71,417.05,438.11,1109670.943,477180580.1,502635
1.59728E+12,13/8/2020 0:00,ETH/USDT,387.18,431.49,376.59,424.54,1511330.773,604810975.1,634978
1.59719E+12,12/8/2020 0:00,ETH/USDT,378.99,389.23,365.85,387.18,751848.7983,285872467.6,349082
1.5971E+12,11/8/2020 0:00,ETH/USDT,395.43,398.21,367,379,992412.6023,381981614.6,459623
1.59702E+12,10/8/2020 0:00,ETH/USDT,390.14,399.18,385.13,395.44,826969.9063,326372434.9,395123
1.59693E+12,9/8/2020 0:00,ETH/USDT,397.05,400,383.36,390.14,594900.5813,233057462.9,319111
1.59684E+12,8/8/2020 0:00,ETH/USDT,379.34,397.05,375.79,397.03,623029.7805,240999198,300577
1.59676E+12,7/8/2020 0:00,ETH/USDT,394.77,398.26,362.85,379.34,1041207.359,398625567.1,466548
1.59667E+12,6/8/2020 0:00,ETH/USDT,400.72,403.66,390.51,394.77,821379.084,325718417.7,388529
1.59659E+12,5/8/2020 0:00,ETH/USDT,389.59,407,384.11,400.72,1124119.067,444335097.1,459722
